Agency,Service
"Information Technology And Telecommunications, Department of",VoIP
"Information Technology And Telecommunications, Department of",FUNCTIONAL TESTING
"Information Technology And Telecommunications, Department of",PERFORMANCE TEST
"Investigation, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Investigation, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Investigation, Department of",PROJECT MANAGEMENT 
"Investigation, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Investigation, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Investigation, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Investigation, Department of",NYC.GOV
"Investigation, Department of",SITE-TO-SITE VPN
"Investigation, Department of",SOFTWARE SECURITY ASSURANCE
"Investigation, Department of",SSL REMOTE ACCESS
"Investigation, Department of",CISCO MAINTENANCE CONTRACT
"Investigation, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Investigation, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Investigation, Department of",DATA EXCHANGE
"Investigation, Department of",PROVISIONING
"Investigation, Department of",MAINFRAME
"Investigation, Department of",SECURE FILE TRANSFER 
"Investigation, Department of","SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
"Investigation, Department of",SITE B (STERLING FOREST) MAINFRAME
"Investigation, Department of",CABLE INFRASTRUCTURE
"Investigation, Department of",CITYNET
"Investigation, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Investigation, Department of",CLOUD REVIEW
"Investigation, Department of",ADOBE ETLA
"Investigation, Department of",VMWARE ELA
"Investigation, Department of",MICROSOFT ELA
"Investigation, Department of",MOBILE DEVICES AND SERVICES
"Investigation, Department of",TELECOMM CONTRACT
"Investigation, Department of",VoIP
"Investigation, Department of",FUNCTIONAL TESTING
"Labor Relations, NYC Office of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Labor Relations, NYC Office of",BUSINESS APPLICATION DEVELOPMENT 
"Labor Relations, NYC Office of",PROJECT MANAGEMENT 
"Labor Relations, NYC Office of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Labor Relations, NYC Office of",NYC.GOV
"Labor Relations, NYC Office of",IDENTITY MANAGEMENT 
"Labor Relations, NYC Office of",NYC.ID/IDENTITY MANAGEMENT 
"Labor Relations, NYC Office of",PASSWORD SELF-SERVICE
"Labor Relations, NYC Office of",SITE-TO-SITE VPN
"Labor Relations, NYC Office of",SOFTWARE SECURITY ASSURANCE
"Labor Relations, NYC Office of",SSL REMOTE ACCESS
"Labor Relations, NYC Office of",CISCO MAINTENANCE CONTRACT
"Labor Relations, NYC Office of",SERVICE DESK
"Labor Relations, NYC Office of",PRIMARY DATA CENTER
"Labor Relations, NYC Office of",EMAIL
"Labor Relations, NYC Office of",PROVISIONING
"Labor Relations, NYC Office of",SELF-PROVISIONING
"Labor Relations, NYC Office of",MAINFRAME
"Labor Relations, NYC Office of",SECURE FILE TRANSFER 
"Labor Relations, NYC Office of",SITE B (STERLING FOREST) MAINFRAME
"Labor Relations, NYC Office of",CABLE INFRASTRUCTURE
"Labor Relations, NYC Office of",CITYNET
"Labor Relations, NYC Office of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Labor Relations, NYC Office of",ADOBE ETLA
"Labor Relations, NYC Office of",VMWARE ELA
"Labor Relations, NYC Office of",MICROSOFT ELA
"Labor Relations, NYC Office of",MOBILE DEVICES AND SERVICES
"Labor Relations, NYC Office of",VoIP
Landmarks Preservation Commission,BUSINESS APPLICATION DEVELOPMENT 
Landmarks Preservation Commission,MAPPING/LOCATION SERVICES
Landmarks Preservation Commission,PROJECT MANAGEMENT 
Landmarks Preservation Commission,WEBSITE DESIGN BUILD AND MAINTENANCE  
Landmarks Preservation Commission,NYC.GOV
Landmarks Preservation Commission,IDENTITY MANAGEMENT 
Landmarks Preservation Commission,PASSWORD SELF-SERVICE
Landmarks Preservation Commission,SITE-TO-SITE VPN
Landmarks Preservation Commission,SOFTWARE SECURITY ASSURANCE
Landmarks Preservation Commission,SSL REMOTE ACCESS
Landmarks Preservation Commission,CISCO MAINTENANCE CONTRACT
Landmarks Preservation Commission,SERVICE DESK
Landmarks Preservation Commission,DESKTOP SUPPORT
Landmarks Preservation Commission,PRIMARY DATA CENTER
Landmarks Preservation Commission,EMAIL
Landmarks Preservation Commission,PROVISIONING
Landmarks Preservation Commission,LYNC 2013
Landmarks Preservation Commission,SECURE FILE TRANSFER 
Landmarks Preservation Commission,CABLE INFRASTRUCTURE
Landmarks Preservation Commission,CITYNET
Landmarks Preservation Commission,DATA CONNECTIVITY (CIRCUIT ORDERS)
Landmarks Preservation Commission,NETWORK LAN SUPPORT
Landmarks Preservation Commission,USER EXPERIENCE DESIGN
Landmarks Preservation Commission,MOBILE DEVICES AND SERVICES
Landmarks Preservation Commission,FUNCTIONAL TESTING
Landmarks Preservation Commission,PERFORMANCE TEST
"Law Department, Office of the Corporation Counsel",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Law Department, Office of the Corporation Counsel",BUSINESS APPLICATION DEVELOPMENT 
"Law Department, Office of the Corporation Counsel",BUSINESS-AS-USUAL (ANALYTICS)
"Law Department, Office of the Corporation Counsel",MOBILE DEVELOPMENT 
"Law Department, Office of the Corporation Counsel",PROJECT MANAGEMENT 
"Law Department, Office of the Corporation Counsel",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Law Department, Office of the Corporation Counsel",SOLUTION DEVELOPMENT (ANALYTICS)
"Law Department, Office of the Corporation Counsel",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Law Department, Office of the Corporation Counsel",NYC.GOV
"Law Department, Office of the Corporation Counsel",WEB SINGLE SIGN-ON
"Law Department, Office of the Corporation Counsel",IDENTITY MANAGEMENT 
"Law Department, Office of the Corporation Counsel",NYC.ID/IDENTITY MANAGEMENT 
"Law Department, Office of the Corporation Counsel",PASSWORD SELF-SERVICE
"Law Department, Office of the Corporation Counsel",SITE-TO-SITE VPN
"Law Department, Office of the Corporation Counsel",SOFTWARE SECURITY ASSURANCE
"Law Department, Office of the Corporation Counsel",SSL REMOTE ACCESS
"Law Department, Office of the Corporation Counsel",CDWG - IT GOODS AND RELATED SERVICES 
"Law Department, Office of the Corporation Counsel",CISCO MAINTENANCE CONTRACT
"Law Department, Office of the Corporation Counsel",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Law Department, Office of the Corporation Counsel",IT SECURITY ( SECURITY CLASS II)
"Law Department, Office of the Corporation Counsel",DATA EXCHANGE
"Law Department, Office of the Corporation Counsel",APPLICATION SUPPORT
"Law Department, Office of the Corporation Counsel",PRIMARY DATA CENTER
"Law Department, Office of the Corporation Counsel",EMAIL
"Law Department, Office of the Corporation Counsel",PROVISIONING
"Law Department, Office of the Corporation Counsel",SELF-PROVISIONING
"Law Department, Office of the Corporation Counsel",MAINFRAME
"Law Department, Office of the Corporation Counsel",LYNC 2013
"Law Department, Office of the Corporation Counsel",SECURE FILE TRANSFER 
"Law Department, Office of the Corporation Counsel",SITE B (STERLING FOREST) MAINFRAME
"Law Department, Office of the Corporation Counsel",CABLE INFRASTRUCTURE
"Law Department, Office of the Corporation Counsel",CITYNET
"Law Department, Office of the Corporation Counsel",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Law Department, Office of the Corporation Counsel",ADVISORY SERVICES 
"Law Department, Office of the Corporation Counsel",CLOUD REVIEW
"Law Department, Office of the Corporation Counsel",USER EXPERIENCE DESIGN
"Law Department, Office of the Corporation Counsel",ADOBE ETLA
"Law Department, Office of the Corporation Counsel",MICROSOFT ELA
"Law Department, Office of the Corporation Counsel",MOBILE DEVICES AND SERVICES
"Law Department, Office of the Corporation Counsel",TELECOMM CONTRACT
"Law Department, Office of the Corporation Counsel",VoIP
"Law Department, Office of the Corporation Counsel",PERFORMANCE TEST
"Administrative Justice Coordinator, Office of",BUSINESS APPLICATION DEVELOPMENT 
"Administrative Justice Coordinator, Office of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Administrative Justice Coordinator, Office of",NYC.GOV
"Administrative Justice Coordinator, Office of",SITE-TO-SITE VPN
"Administrative Justice Coordinator, Office of",SOFTWARE SECURITY ASSURANCE
"Administrative Justice Coordinator, Office of",SSL REMOTE ACCESS
"Administrative Justice Coordinator, Office of",SECURE FILE TRANSFER 
"Administrative Justice Coordinator, Office of",ADVISORY SERVICES 
"Administrative Justice Coordinator, Office of",VMWARE ELA
"Administrative Justice Coordinator, Office of",MOBILE DEVICES AND SERVICES
"Mayor, Office of the",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Mayor, Office of the",BUSINESS ANALYSIS
"Mayor, Office of the",BUSINESS APPLICATION DEVELOPMENT 
"Mayor, Office of the",BUSINESS-AS-USUAL (ANALYTICS)
"Mayor, Office of the",MOBILE DEVELOPMENT 
"Mayor, Office of the",PROJECT MANAGEMENT 
"Mayor, Office of the",SOLUTION DEVELOPMENT (ANALYTICS)
"Mayor, Office of the",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Mayor, Office of the",NYC.GOV
"Mayor, Office of the",IDENTITY MANAGEMENT 
"Mayor, Office of the",NYC.ID/IDENTITY MANAGEMENT 
"Mayor, Office of the",PASSWORD SELF-SERVICE
"Mayor, Office of the",SITE-TO-SITE VPN
"Mayor, Office of the",SOFTWARE SECURITY ASSURANCE
"Mayor, Office of the",SSL REMOTE ACCESS
"Mayor, Office of the",CDWG - IT GOODS AND RELATED SERVICES 
"Mayor, Office of the",CISCO MAINTENANCE CONTRACT
"Mayor, Office of the",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Mayor, Office of the",SYSTEMS INTEGRATION SERVICES (SI)
"Mayor, Office of the",APPLICATION SUPPORT
"Mayor, Office of the",PRIMARY DATA CENTER
"Mayor, Office of the",PROVISIONING
"Mayor, Office of the",SELF-PROVISIONING
"Mayor, Office of the",MAINFRAME
"Mayor, Office of the",SITE B (STERLING FOREST) MAINFRAME
"Mayor, Office of the",WP ENGINE PLATFORM
"Mayor, Office of the",WORKSHOPS
"Mayor, Office of the",CABLE INFRASTRUCTURE
"Mayor, Office of the",CITYNET
"Mayor, Office of the",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Mayor, Office of the",NEW YORK WIRELESS NETWORK (NYCWIN)
"Mayor, Office of the",ADVISORY SERVICES 
"Mayor, Office of the",CLOUD REVIEW
"Mayor, Office of the",ADOBE ETLA
"Mayor, Office of the",VMWARE ELA
"Mayor, Office of the",MICROSOFT ELA
"Mayor, Office of the",MOBILE DEVICES AND SERVICES
"Mayor, Office of the",TWO-WAY RADIO COMMUNICATION
"Mayor, Office of the",FUNCTIONAL TESTING
"Mayor, Office of the",PERFORMANCE TEST
Center for Innovation Through Data Intelligence,BUSINESS-AS-USUAL (ANALYTICS)
Center for Innovation Through Data Intelligence,SOLUTION DEVELOPMENT (ANALYTICS)
Center for Innovation Through Data Intelligence,WEBSITE DESIGN BUILD AND MAINTENANCE  
Center for Innovation Through Data Intelligence,NYC.GOV
Center for Innovation Through Data Intelligence,SITE-TO-SITE VPN
Center for Innovation Through Data Intelligence,SOFTWARE SECURITY ASSURANCE
Center for Innovation Through Data Intelligence,SSL REMOTE ACCESS
Center for Innovation Through Data Intelligence,MOBILE DEVICES AND SERVICES
Mayor's Advisory Committee On the Judiciary,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Advisory Committee On the Judiciary,NYC.GOV
Mayor's Advisory Committee On the Judiciary,SITE-TO-SITE VPN
Mayor's Advisory Committee On the Judiciary,SOFTWARE SECURITY ASSURANCE
Mayor's Advisory Committee On the Judiciary,SSL REMOTE ACCESS
Mayor's Advisory Committee On the Judiciary,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Advisory Committee On the Judiciary,MOBILE DEVICES AND SERVICES
Mayor's Advisory Committee On the Judiciary,TWO-WAY RADIO COMMUNICATION
Mayor's Commission On Gender Equality,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Commission On Gender Equality,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Commission On Gender Equality,NYC.GOV
Mayor's Commission On Gender Equality,SITE-TO-SITE VPN
Mayor's Commission On Gender Equality,SOFTWARE SECURITY ASSURANCE
Mayor's Commission On Gender Equality,SSL REMOTE ACCESS
Mayor's Commission On Gender Equality,MOBILE DEVICES AND SERVICES
Mayor's Committee On City Marshals,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Committee On City Marshals,NYC.GOV
Mayor's Committee On City Marshals,SITE-TO-SITE VPN
Mayor's Committee On City Marshals,SOFTWARE SECURITY ASSURANCE
Mayor's Committee On City Marshals,SSL REMOTE ACCESS
Mayor's Committee On City Marshals,MAINFRAME
Mayor's Committee On City Marshals,SITE B (STERLING FOREST) MAINFRAME
Mayor's Committee On City Marshals,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Committee On City Marshals,VMWARE ELA
Mayor's Committee On City Marshals,MOBILE DEVICES AND SERVICES
Mayor's Committee On City Marshals,TWO-WAY RADIO COMMUNICATION
Mayor's Community Affairs Unit,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Community Affairs Unit,PROJECT MANAGEMENT 
Mayor's Community Affairs Unit,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Community Affairs Unit,NYC.GOV
Mayor's Community Affairs Unit,SITE-TO-SITE VPN
Mayor's Community Affairs Unit,SOFTWARE SECURITY ASSURANCE
Mayor's Community Affairs Unit,SSL REMOTE ACCESS
Mayor's Community Affairs Unit,PROVISIONING
Mayor's Community Affairs Unit,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Community Affairs Unit,MOBILE DEVICES AND SERVICES
Mayor's Community Affairs Unit,TWO-WAY RADIO COMMUNICATION
Mayor's Community Affairs Unit,FUNCTIONAL TESTING
Mayor's Office for International Affairs,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office for International Affairs,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office for International Affairs,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office for International Affairs,NYC.GOV
Mayor's Office for International Affairs,SITE-TO-SITE VPN
Mayor's Office for International Affairs,SOFTWARE SECURITY ASSURANCE
Mayor's Office for International Affairs,SSL REMOTE ACCESS
Mayor's Office for International Affairs,MOBILE DEVICES AND SERVICES
Mayor's Office for International Affairs,TWO-WAY RADIO COMMUNICATION
Mayor's Office for People With Disabilities,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office for People With Disabilities,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office for People With Disabilities,NYC.GOV
Mayor's Office for People With Disabilities,SITE-TO-SITE VPN
Mayor's Office for People With Disabilities,SOFTWARE SECURITY ASSURANCE
Mayor's Office for People With Disabilities,SSL REMOTE ACCESS
Mayor's Office for People With Disabilities,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office for People With Disabilities,USER EXPERIENCE DESIGN
Mayor's Office for People With Disabilities,MOBILE DEVICES AND SERVICES
Mayor's Office for People With Disabilities,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Criminal Justice,BUSINESS ANALYSIS
Mayor's Office of Criminal Justice,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Criminal Justice,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Criminal Justice,MAPPING/LOCATION SERVICES
Mayor's Office of Criminal Justice,PROJECT MANAGEMENT 
Mayor's Office of Criminal Justice,PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
Mayor's Office of Criminal Justice,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Criminal Justice,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Criminal Justice,NYC.GOV
Mayor's Office of Criminal Justice,SITE-TO-SITE VPN
Mayor's Office of Criminal Justice,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Criminal Justice,SSL REMOTE ACCESS
Mayor's Office of Criminal Justice,CDWG - IT GOODS AND RELATED SERVICES 
Mayor's Office of Criminal Justice,QUALITY CONTROL SERVICES (QC)
Mayor's Office of Criminal Justice,SYSTEMS INTEGRATION SERVICES (SI)
Mayor's Office of Criminal Justice,PRIMARY DATA CENTER
Mayor's Office of Criminal Justice,PROVISIONING
Mayor's Office of Criminal Justice,SELF-PROVISIONING
Mayor's Office of Criminal Justice,SECURE FILE TRANSFER 
Mayor's Office of Criminal Justice,SHAREPOINT
Mayor's Office of Criminal Justice,CABLE INFRASTRUCTURE
Mayor's Office of Criminal Justice,CITYNET
Mayor's Office of Criminal Justice,DATA CONNECTIVITY (CIRCUIT ORDERS)
Mayor's Office of Criminal Justice,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Criminal Justice,ADVISORY SERVICES 
Mayor's Office of Criminal Justice,USER EXPERIENCE DESIGN
Mayor's Office of Criminal Justice,MICROSOFT ELA
Mayor's Office of Criminal Justice,MOBILE DEVICES AND SERVICES
Mayor's Office of Criminal Justice,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Criminal Justice,FUNCTIONAL TESTING
Mayor's Office of Special Enforcement,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Special Enforcement,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Special Enforcement,PROJECT MANAGEMENT 
Mayor's Office of Special Enforcement,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Special Enforcement,SITE-TO-SITE VPN
Mayor's Office of Special Enforcement,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Special Enforcement,SSL REMOTE ACCESS
Mayor's Office of Special Enforcement,SYSTEMS INTEGRATION SERVICES (SI)
Mayor's Office of Special Enforcement,ADVISORY SERVICES 
Mayor's Office of Special Enforcement,ADOBE ETLA
Mayor's Office of Special Enforcement,MOBILE DEVICES AND SERVICES
Mayor's Office of Special Enforcement,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Environmental Coordination,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Environmental Coordination,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Environmental Coordination,NYC.GOV
Mayor's Office of Environmental Coordination,SITE-TO-SITE VPN
Mayor's Office of Environmental Coordination,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Environmental Coordination,SSL REMOTE ACCESS
Mayor's Office of Environmental Coordination,MOBILE DEVICES AND SERVICES
Mayor's Office of Environmental Coordination,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Environmental Remediation,MAPPING/LOCATION SERVICES
Mayor's Office of Environmental Remediation,PROJECT MANAGEMENT 
Mayor's Office of Environmental Remediation,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Environmental Remediation,NYC.GOV
Mayor's Office of Environmental Remediation,SITE-TO-SITE VPN
Mayor's Office of Environmental Remediation,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Environmental Remediation,SSL REMOTE ACCESS
Mayor's Office of Environmental Remediation,GEOGRAPHIC INFORMATION TECHNOLOGIES AND SERVICES (GIS)
Mayor's Office of Environmental Remediation,SECURE FILE TRANSFER 
Mayor's Office of Environmental Remediation,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Environmental Remediation,ADVISORY SERVICES 
Mayor's Office of Environmental Remediation,MOBILE DEVICES AND SERVICES
Mayor's Office of Environmental Remediation,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Food Policy,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Food Policy,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Food Policy,NYC.GOV
Mayor's Office of Food Policy,SITE-TO-SITE VPN
Mayor's Office of Food Policy,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Food Policy,SSL REMOTE ACCESS
Mayor's Office of Food Policy,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Food Policy,MOBILE DEVICES AND SERVICES
Mayor's Office of Immigrant Affairs,BUSINESS ANALYSIS
Mayor's Office of Immigrant Affairs,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Immigrant Affairs,PROJECT MANAGEMENT 
Mayor's Office of Immigrant Affairs,SOLUTION DEVELOPMENT (CRM)
Mayor's Office of Immigrant Affairs,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Immigrant Affairs,NYC.GOV
Mayor's Office of Immigrant Affairs,SITE-TO-SITE VPN
Mayor's Office of Immigrant Affairs,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Immigrant Affairs,SSL REMOTE ACCESS
Mayor's Office of Immigrant Affairs,LYNC 2013
Mayor's Office of Immigrant Affairs,CLOUD REVIEW
Mayor's Office of Immigrant Affairs,USER EXPERIENCE DESIGN
Mayor's Office of Immigrant Affairs,MOBILE DEVICES AND SERVICES
Mayor's Office of Immigrant Affairs,FUNCTIONAL TESTING
Mayor's Office of Intergovernmental Affairs,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Intergovernmental Affairs,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Intergovernmental Affairs,NYC.GOV
Mayor's Office of Intergovernmental Affairs,SITE-TO-SITE VPN
Mayor's Office of Intergovernmental Affairs,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Intergovernmental Affairs,SSL REMOTE ACCESS
Mayor's Office of Intergovernmental Affairs,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Intergovernmental Affairs,MOBILE DEVICES AND SERVICES
Mayor's Office of Intergovernmental Affairs,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Minority And Women-Owned Business Enterprises,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Minority And Women-Owned Business Enterprises,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Minority And Women-Owned Business Enterprises,NYC.GOV
Mayor's Office of Minority And Women-Owned Business Enterprises,SITE-TO-SITE VPN
Mayor's Office of Minority And Women-Owned Business Enterprises,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Minority And Women-Owned Business Enterprises,SSL REMOTE ACCESS
Mayor's Office of Minority And Women-Owned Business Enterprises,SHAREPOINT
Mayor's Office of Minority And Women-Owned Business Enterprises,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Minority And Women-Owned Business Enterprises,ADVISORY SERVICES 
Mayor's Office of Minority And Women-Owned Business Enterprises,CLOUD REVIEW
Mayor's Office of Minority And Women-Owned Business Enterprises,ADOBE ETLA
Mayor's Office of Minority And Women-Owned Business Enterprises,MOBILE DEVICES AND SERVICES
Mayor's Office of Minority And Women-Owned Business Enterprises,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Operations,BUSINESS ANALYSIS
Mayor's Office of Operations,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Operations,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Operations,MAPPING/LOCATION SERVICES
Mayor's Office of Operations,PROJECT MANAGEMENT 
Mayor's Office of Operations,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Operations,SOLUTION DEVELOPMENT (CRM)
Mayor's Office of Operations,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Operations,NYC.GOV
Mayor's Office of Operations,SITE-TO-SITE VPN
Mayor's Office of Operations,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Operations,SSL REMOTE ACCESS
Mayor's Office of Operations,QUALITY CONTROL SERVICES (QC)
Mayor's Office of Operations,PRIMARY DATA CENTER
Mayor's Office of Operations,PROVISIONING
Mayor's Office of Operations,SELF-PROVISIONING
Mayor's Office of Operations,SHAREPOINT
Mayor's Office of Operations,WORKSHOPS
Mayor's Office of Operations,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Operations,CLOUD REVIEW
Mayor's Office of Operations,MOBILE DEVICES AND SERVICES
Mayor's Office of Operations,TWO-WAY RADIO COMMUNICATION
Mayor's Office of Operations,FUNCTIONAL TESTING
Mayor's Office of Operations,PERFORMANCE TEST
Mayor's Office for Economic Opportunity,BUSINESS ANALYSIS
Mayor's Office for Economic Opportunity,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office for Economic Opportunity,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office for Economic Opportunity,HUMAN CENTERED DESIGN
Mayor's Office for Economic Opportunity,PROJECT MANAGEMENT 
Mayor's Office for Economic Opportunity,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office for Economic Opportunity,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office for Economic Opportunity,NYC.GOV
Mayor's Office for Economic Opportunity,SITE-TO-SITE VPN
Mayor's Office for Economic Opportunity,SOFTWARE SECURITY ASSURANCE
Mayor's Office for Economic Opportunity,SSL REMOTE ACCESS
Mayor's Office for Economic Opportunity,DESKTOP SUPPORT
Mayor's Office for Economic Opportunity,SELF-PROVISIONING
Mayor's Office for Economic Opportunity,SECURE FILE TRANSFER 
Mayor's Office for Economic Opportunity,WORKSHOPS
Mayor's Office for Economic Opportunity,NETWORK LAN SUPPORT
Mayor's Office for Economic Opportunity,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office for Economic Opportunity,CLOUD REVIEW
Mayor's Office for Economic Opportunity,USER EXPERIENCE DESIGN
Mayor's Office for Economic Opportunity,VMWARE ELA
Mayor's Office for Economic Opportunity,MOBILE DEVICES AND SERVICES
Mayor's Office for Economic Opportunity,TWO-WAY RADIO COMMUNICATION
Mayor's Office for Economic Opportunity,FUNCTIONAL TESTING
Mayor's Office of Data Analytics,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Data Analytics,BUSINESS-AS-USUAL (ANALYTICS)
Mayor's Office of Data Analytics,HUMAN CENTERED DESIGN
Mayor's Office of Data Analytics,MAPPING/LOCATION SERVICES
Mayor's Office of Data Analytics,SOLUTION DEVELOPMENT (ANALYTICS)
Mayor's Office of Data Analytics,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Data Analytics,NYC.GOV
Mayor's Office of Data Analytics,SITE-TO-SITE VPN
Mayor's Office of Data Analytics,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Data Analytics,SSL REMOTE ACCESS
Mayor's Office of Data Analytics,DATA EXCHANGE
Mayor's Office of Data Analytics,APPLICATION SUPPORT
Mayor's Office of Data Analytics,MAINFRAME
Mayor's Office of Data Analytics,SITE B (STERLING FOREST) MAINFRAME
Mayor's Office of Data Analytics,WP ENGINE PLATFORM
Mayor's Office of Data Analytics,USER EXPERIENCE DESIGN
Mayor's Office of Data Analytics,ADOBE ETLA
Mayor's Office of Data Analytics,VMWARE ELA
Mayor's Office of Data Analytics,MOBILE DEVICES AND SERVICES
Mayor's Office of Recovery And Resiliency,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Office of Recovery And Resiliency,MAPPING/LOCATION SERVICES
Mayor's Office of Recovery And Resiliency,PROJECT MANAGEMENT 
Mayor's Office of Recovery And Resiliency,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Office of Recovery And Resiliency,NYC.GOV
Mayor's Office of Recovery And Resiliency,SITE-TO-SITE VPN
Mayor's Office of Recovery And Resiliency,SOFTWARE SECURITY ASSURANCE
Mayor's Office of Recovery And Resiliency,SSL REMOTE ACCESS
Mayor's Office of Recovery And Resiliency,NEW YORK WIRELESS NETWORK (NYCWIN)
Mayor's Office of Recovery And Resiliency,USER EXPERIENCE DESIGN
Mayor's Office of Recovery And Resiliency,MICROSOFT ELA
Mayor's Office of Recovery And Resiliency,MOBILE DEVICES AND SERVICES
